index,authors,title,reference,reference_detail,month,month_num,year,type,selected,research,dataset,hidden,link1,link1_name,link2,link2_name
094,"D. Wu, Y. Bi, and J. Liang",Cooperative Downloading by Multi-Vehicles in Urban VANET,International Journal of Distributed Sensor Networks,"Vol. 2014 ID 319514, 9 pages.",Feb,2,2014,j,,,,,https://journals.sagepub.com/doi/abs/10.1155/2014/319514,Sage,,
095,"L. Meng, J. Liang, U. Samarawickrama, Y. Zhao, H. Bai, and A. Kaup",Multiple Description Coding with Randomly and Uniformly Offset Quantizers,IEEE Trans. on Image Processing,"Vol. 23, No. 2, pp. 582-595.",Feb,2,2014,j,,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6655883,IEEEXplore,,
096,H. Hadizadeh and I. V. Bajić,Saliency-aware video compression,IEEE Trans. Image Processing,"vol. 23, no. 1, pp. 19-33.",Jan,1,2014,j,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6605606,IEEEXplore,https://www.researchgate.net/publication/258935941_SAVC-code,Code
097,"O. Alhussein, S. Muhaidat, J. Liang, and P. D. Yoo",A Unified Approach for Representing Wireless Channels using EM-Based Finite Mixture of Gamma Distributions,2014 IEEE Global Telecommunications Conference (GLOBECOM),"pp. 1008-1013, Austin, TX.",Dec,12,2014,c,,,,,,,,
098,V. A. Mateescu and I. V. Bajić,Can subliminal flicker guide attention in natural images?,Proc. ACM Multimedia PIVP,"pp. 33-34, Orlando, FL.",Nov,11,2014,c,,,,,http://dl.acm.org/citation.cfm?id=2663012&CFID=456739913&CFTOKEN=17248534,ACM,https://www.researchgate.net/publication/265467451_Flicker_PIVP2014_supplementary,Code
099,"S. H. Khatoonabadi, I. V. Bajić, and Y. Shan","Compressed-domain correlates of fixations in video,",Proc. ACM Multimedia PIVP,"pp. 3-8, Orlando, FL. ",Nov,11,2014,c,,,,,http://dl.acm.org/citation.cfm?id=2663008&CFID=456739913&CFTOKEN=17248534,ACM,http://www.sfu.ca/~ibajic/software/kbs_pivp2014_code.rar,Code
100,V. A. Mateescu and I. V. Bajić,Attention retargeting by color manipulation in images,Proc. ACM Multimedia PIVP,"pp. 15-20, Orlando, FL.",Nov,11,2014,c,,,,,http://dl.acm.org/citation.cfm?id=2663009&CFID=456739913&CFTOKEN=17248534,ACM,https://www.researchgate.net/publication/265467626_Color_PIVP2014_implementation,Code
101,"S. H. Khatoonabadi, I. V. Bajić, and Y. Shan",Comparison of visual saliency models for compressed video,Proc. IEEE ICIP'14,"pp. 1081-1085, Paris, France.",Oct,10,2014,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=7025215,IEEEXplore,http://www.sfu.ca/~ibajic/software/CSE-ICIP2014.rar,Code
102,"C. Bi, J. Liang, and D. Wu",Joint source-channel coding of JPEG 2000 image transmission ove coded cooperative networks,Proc. 2014 IEEE China Summit and International Conference on Signal and Information Processing (ChinaSIP’14),"pp. 276-280, Xi'an, China.",Jul,7,2014,c,,,,,,,,
103,"M. Zhao, X. Gong, J. Liang, W. Wang, X. Que, and S. Cheng",Scheduling and Resource Allocation for Wireless Dynamic Adaptive Streaming of Scalable Videos over HTTP,Proc. 2014 IEEE International Conference on Communications (ICC),"pp. 1681-1686, Sydney, Australia.",Jun,6,2014,c,,,,,,,,
104,"X. Wang, J. Liang",Side Information-Aided Compressed Sensing Reconstruction via Approximate Message Passing,"Proc. 2014 IEEE Inter. Conf. Acoustics, Speech, and Signal Processing (ICASSP)","pp. 3330-3334, Florence, Italy.",May,5,2014,c,,,,,,,,
105,"Y. Gao, G. Cheung, T. Maugey, P. Frossard, and J. Liang",3D Geometry Representation using Multiview Coding of Image Tiles,"Proc. 2014 IEEE Inter. Conf. Acoustics, Speech, and Signal Processing (ICASSP)","pp. 6157-6161, Florence.",May,5,2014,c,,,,,,,,
106,C.-H. Kwak and I. V. Bajić,Hybrid compression of dynamic 3D mesh data,Proc. IEEE ICASSP'14,"pp. 6183-6187, Florence, Italy.",May,5,2014,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6854784,IEEEXplore,,
107,"B. Macchiavello, C. Dorea, E. Hung, G. Cheung, and I. V. Bajić",Low-saliency prior for disocclusion hole filling in DIBR-synthesized images,Proc. IEEE ICASSP'14,"pp. 579-583, Florence, Italy. ",May,5,2014,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6853662,IEEEXplore,,
108,"H. Choi, J. Yoo, J. Nam, D. Sim, and I. V. Bajić",Pixel-wise unified rate-quantization model for multi-level rate control,IEEE J. Sel. Topics Signal Process,"vol. 7, no. 6, pp. 1112-1123. (Special Issue on Video Coding: HEVC and Beyond)",Dec,12,2013,j,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6552971,IEEEXplore,,
109,"H. Hadizadeh, I. V. Bajić, and G. Cheung, ",Video error concealment using a computation-efficient low saliency prior,IEEE Trans. Multimedia,"vol. 15, no. 8, pp. 2099-2113.",Dec,12,2013,j,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6589994,IEEEXplore,,
110,H. Khalilian and I. V. Bajić,Video watermarking with empirical PCA-based decoding,IEEE Trans. Image Processing,"vol. 22, no. 12, pp. 4825-4840.",Dec,12,2013,j,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6578562,IEEEXplore,https://www.researchgate.net/publication/258939759_video_watermarking,Code
111,"P. Wan, Y. Feng, G. Cheung, I. V. Bajić, and O. C. Au",3D motion estimation for visual saliency modeling,IEEE Signal Processing Letters,"vol. 20, no. 10, pp. 972-975. ",Oct,10,2013,j,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6576147,IEEEXplore,,
112,"M. Seyfi, S. Muhaidat and J. Liang",Relay Selection in Cognitive Radio Networks with Interference Constraints,IET Communications,"Vol. 7, Iss. 10, pp. 922-930.",Aug,8,2013,j,,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=06574794,IEEEXplore,,
113,"Y. Gao, X. Xiu, J. Liang, and W. Lin",Fast synthesized and predicted just noticeable distortion maps for perceptual multiview video coding,Journal of Visual Communication and Image Representation,"Vol. 24, Iss. 6, pp. 700–707",Aug,8,2013,j,,,,,http://www.sciencedirect.com/science/article/pii/S1047320312000648,ScienceDirect,,
114,"D. Wu, Y. Ling, H. Zhu, and J. Liang",The RSU Access Problem Based on Evolutionary Game Theory for VANET, International Journal of Distributed Sensor Networks,"Vol. 2013, ID 143024, 7 pages.",Jul,7,2013,j,,,,,https://doi.org/10.1155/2013/143024,Sage,,
115,"D. Zhang, J. Liang, and I. Singh",Fast Transmission Distortion Estimation and Adaptive Error Protection for H.264/AVC-based Embedded Video Conferencing Systems,Signal Processing: Image Communication,"Volume 28, Issue 5, pp. 417–429. ",May,5,2013,j,,,,,http://www.sciencedirect.com/science/article/pii/S0923596513000167,ScienceDirect,,
116,"M. Shayegannia, A. Hajshirmohammadi, S. Muhaidat, and M. Torki",Transmission of JPEG2000 Images over Frequency Selective Channels with Unequal Power Allocation,IET Image Processing,"Vol. 7, Issue 1",Feb,2,2013,j,,,,,,,,
117,S. H. Khatoonabadi and I. V. Bajić,Video object tracking in the compressed domain using spatio-temporal Markov random fields, IEEE Trans. Image Processing,"vol. 22, no. 1, pp. 300-313. ",Jan,1,2013,j,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6272352,IEEEXplore,https://www.researchgate.net/publication/258938622_ST-MRF_tracking,Code
118,"D. Zhang, J. Liang, and X. Gong",distortion Estimation for Two-Step View Synthesis,Proc. Picture Coding Symposium (PCS),"San Jose, CA, pp. 93-96.",Dec,12,2013,c,,,,,,,,
119,"H. Khalilian, I. V. Bajić, and R. G. Vaughan",Loudspeaker placement for sound field reproduction by constrained matching pursuit,Proc. IEEE WASPAA'13,"New Paltz, NY.",Oct,10,2013,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6701838,IEEEXplore,,
120,"Y. Gao, G. Cheung, and J. Liang",Rate-Complexity Tradeoff for Client-Side Free Viewpoint Image Rendering,Proc. 2013 IEEE Inter. Conf. Image Processing (ICIP),"Melbourne, Australia, pp. 1890-1894.",Sep,9,2013,c,,,,,,,,
121,"C. Bi, and J. Liang",Layered Source-Channel Coding Over Two-Way Relay Networks,Proc. 2013 IEEE Vehicular Technology Conference (VTC),"Las Vegas, USA, pp. 1-5.",Sep,9,2013,c,,,,,,,,
122,C. Qian and I. V. Bajić,Global motion estimation under translation-zoom ambiguity,Proc. IEEE PacRim'13,"pp. 46-51, Victoria, BC.",Aug,8,2013,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6625447,IEEEXplore,,
123,"S. Makonin, F. Popowich, L. Bartram, B. Gill, and I. V. Bajić",AMPds: A public dataset for load disaggregation and eco-feedback research,Proc. IEEE EPEC'13,"Halifax, NS.",Aug,8,2013,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6802949,IEEEXplore,,
124,C. Qian and I. V. Bajić,Frame rate up-conversion using global and local higher-order motion,Proc. IEEE ICME'13,"San Jose, CA.",Jul,7,2013,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6607490,IEEEXplore,,
125,V. A. Mateescu and I. V. Bajić,Guiding visual attention by manipulating orientation in images,Proc. IEEE ICME'13,"San Jose, CA.",Jul,7,2013,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6607624,IEEEXplore,,
126,"H. Khalilian, I. V. Bajić, and R. G. Vaughan",3D sound field reproduction using diverse loudspeaker patterns,Proc. IEEE ICME'13 Workshops,"short papers track, San Jose, CA.",Jul,7,2013,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6618247,IEEEXplore,,
127,S. H. Khatoonabadi and I. V. Bajić,Still visualization of object motion in compressed video,Proc. IEEE ICME'13 Workshops – MMIX,"San Jose, CA.",Jul,7,2013,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6618333,IEEEXplore,https://www.researchgate.net/publication/258939590_Visualization,Code
128,S. H. Khatoonabadi and I. V. Bajić,Compressed-domain global motion estimation based on the Normalized Direct Linear Transform algorithm,presented at ITC-CSCC'13,"Yeosu, Korea. ",Jul,7,2013,c,,,,,https://www.researchgate.net/publication/258021612_Compressed-Domain_Global_Motion_Estimation_Based_on_the_Direct_Linear_Transform_Algorithm,ResearchGate,https://www.researchgate.net/publication/258934920_NDLT_Compressed_GME,Code
129,"J. Nam, I. V. Bajić, and D. Sim",Novel motion and disparity prediction for multi-view video coding,Proc. IEEE IVMSP'13,"Seoul, Korea. ",Jun,6,2013,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6611924,IEEEXplore,,
130,"W. Lim, I. V. Bajić, and D. Sim",QP initialization and adaptive MAD prediction for rate control in HEVC-based multi-view video coding,Proc. IEEE IVMSP'13,"Seoul, Korea. ",Jun,6,2013,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6611925,IEEEXplore,,
131,"X. Wang, J. Liang",View Interpolation Confidence-Aided Compressed Sensing of Multiviw Images,"Proc. 2013 IEEE Inter. Conf. Acoustics, Speech, and Signal Processing (ICASSP)","pp. 1651-1655, Vancouver, Canada.",May,5,2013,c,,,,,,,,
132,"L. Meng, J. Liang, Y. Zhao, H. Bai, C. Lin, and A. Kaup",M-channel Multiple Description Coding based on Uniformly Offset Quantizers with optimal deadzone,"Proc. 2013 IEEE Int. Conf. on Acoustics, Speech, and Signal Processing (ICASSP)","pp. 2026-2030, Vancouver, Canada.",May,5,2013,c,,,,,,,,
133,"L. Meng, J. Liang, U. Samarawickrama, Y. Zhao, H. Bai, and A. Kaup",M-channel Multiple Description Coding with Randomly Offset Quantizers,Proc. 2013 IEEE Inter. Symposium on Circuits and Systems (ISCAS),"pp. 261-264, Beijing, China.",May,5,2013,c,,,,,,,,
134,C.-H. Kwak and I. V. Bajić,MoCap data coding with unrestricted quantization and rate control,Proc. IEEE ICASSP'13,"pp. 3741-3745, Vancouver, BC.",May,5,2013,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6638357,IEEEXplore,,
135,"P. Wan, Y. Feng, G. Cheung, I. V. Bajić, O. C. Au, and Y. Ji",3D motion in visual saliency modeling,Proc. IEEE ICASSP'13,"pp. 1831-1835, Vancouver, BC.",May,5,2013,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6637969,IEEEXplore,,
136,"H. Khalilian, I. V. Bajić, and R. G. Vaughan",Towards optimal loudspeaker placement for sound field reproduction,Proc. IEEE ICASSP'13,"pp. 321-325, Vancouver, BC.",May,5,2013,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6637661,IEEEXplore,,
137,"W. Lim, I. V. Bajić, and D. Sim",QP initialization and interview MAD prediction for rate control in HEVC-based multi-view video coding, Proc. IEEE ICASSP'13,"pp. 2045-2049, Vancouver, BC. ",May,5,2013,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6638013,IEEEXplore,,
138,"X. Xiu, D. Pang and J. Liang",Rectification-based View Interpolation and Extrapolation for Multiview Video Coding,IEEE Trans. on Circuits and Systems for Video Technology,accepted.,Nov,11,2010,j,,,,1,,,,
139,"J. Wang, J. Liang, and S. Muhaidat",On the Distortion Exponents of Layered Broadcast Transmission in Multi-Relay Cooperative Networks,IEEE Trans. on Signal Processing,"Vol. 58, No. 10, pp. 5340-5352.",Oct,10,2010,j,,,,1,,,,
140,"U. Samarawickrama, J. Liang and C. Tian",M-Channel Multiple Description Coding with Two-Rate Predictive Coding and Staggered Quantization,IEEE Trans. Circuits and Systems for Video Technology,"Vol. 20, No. 7, pp. 933-944.",Jul,7,2010,j,,,,1,,,,
141,"H. Hadizadeh, M. J. Enriquez, and I. V. Bajić",Eye-tracking database for a set of standard video sequences,IEEE Trans. Image Processing,"Vol. 21, no. 2, pp. 898-903",Feb,2,2012,j,,,4,1,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5986709,IEEEXplore,,
142,"Y.-M. Chen, I. V. Bajić, and P. Saeedi",Coarse-to-fine moving region segmentation in compressed video,Proc. IEEE WIAMIS'09,"pp. 45-48, London, UK",May,5,2009,c,,,5,1,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5031428&isnumber=5031414,IEEEXplore,,
143,Y.-M. Chen and I. V. Bajić,Compressed-domain moving region segmentation with pixel precision using motion integration,Proc. IEEE PacRim'09,"pp. 442-447, Victoria, BC",Aug,8,2009,c,,,5,1,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5291331&isnumber=5291232,IEEEXplore,,
